id   	 ino   	 date1   	 intime   	 outtime Ascending   	 no   	 descin   	 descout   	 ipadr   	 checked
27784  	IN  	0000-00-00  	11:14:00  	19:58:00  	614  	   	   	192.168.0.2  	c
10936  	IN  	2006-07-01  	00:00:00  	20:00:00  	960  	   	   	192.168.0.1  	c
13027 	IN 	2006-08-01 	00:00:00 	07:52:00 	1106 	  	  	192.168.0.1 	n
18689 	IN 	2006-04-04 	00:00:00 	08:00:00 	1466 	  	  	192.168.0.1 	n
12057 	IN 	2006-07-05 	09:50:00 	00:00:00 	1565 	  	  	192.168.0.1 	n
16903 	IN 	2006-10-27 	20:37:01 	00:00:00 	353 	  	  	192.168.0.114 	n
21173 	IN 	2006-03-16 	12:31:00 	00:00:00 	353 	  	  	192.168.0.1 	n
21219 	IN 	2006-03-05 	11:28:00 	00:00:00 	393 	  	  	192.168.0.1 	n
23350 	IN 	2006-02-02 	10:08:00 	00:00:00 	943 	  	  	192.168.0.1 	n
24818 	IN 	2006-01-28 	09:29:00 	00:00:00 	490 	  	  	192.168.0.1 	n
25130 	IN 	2006-01-14 	09:39:00 	00:00:00 	943 	  	  	192.168.0.1 	n


SELECT `no`, SUM(`hourgiven`) FROM `holidays` WHERE `date1`>='2006-10-01' AND `date1`<='2006-10-31' GROUP BY `no` ORDER BY `no`
